Size of input,Insertion Sort,Merge Sort,Quicksort
10,0.00195312ms,0.0163574ms,0.00146484ms
50,0.00952148ms,0.0996094ms,0.0151367ms
100,0.0349121ms,0.195312ms,0.0419922ms
200,0.0771484ms,0.246094ms,0.0800781ms
500,0.512695ms,0.640381ms,0.433105ms
1000,2.88135ms,2.05444ms,2.14453ms
2000,9.41455ms,3.96484ms,8.22803ms
5000,58.9512ms,10.7598ms,40.1812ms
7000,110.687ms,11.7856ms,81.7239ms
10000,220.847ms,21.6479ms,197.001ms
20000,825.886ms,37.7664ms,650.068ms
30000,1939.66ms,51.2612ms,1647.45ms
40000,3710.79ms,83.1079ms,3420.66ms
50000,6695.47ms,102.854ms,5960.3ms
60000,9180.47ms,147.531ms,7736.34ms
70000,10856.9ms,131.1ms,8416.6ms
80000,14213.6ms,337.174ms,12269ms
90000,19689.8ms,177.582ms,16716.2ms
100000,26773.3ms,209.354ms,20375.5ms
133ms,17912.8ms
